Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age
0,"Q Jossen","… learning procedure for nonintrusive appliance load monitoring/Procédure d'apprentissage non supervisé pour l'analyse non intrusive de la consommation …",2013,"","","","",527,"2020-01-11 17:36:20","CITATION","","","",,,,,0,0.00,0,1,7
8,"YH Lin, YC Hu","… energy management based on a hybrid artificial neural network-particle swarm optimization-integrated two-stage non-intrusive load monitoring process in smart …",2018,"Processes","mdpi.com","https://www.mdpi.com/2227-9717/6/12/236","https://scholar.google.com/scholar?cites=16715936884137848391&as_sdt=2005&sciodt=0,5&hl=en",208,"2020-01-11 17:36:20","","","","",,,,,8,4.00,4,2,2
2,"HH Chang, K Chen, YP Tsai, WJ Lee","… Method for Power Signatures of Nonintrusive Demand A New Measurement Method for Power Signatures of Nonintrusive Demand Monitoring and Load …",2012,"IEEE Trans. Ind. Appl","","","https://scholar.google.com/scholar?cites=12389776534260894970&as_sdt=2005&sciodt=0,5&hl=en",123,"2020-01-11 17:36:20","CITATION","","","",,,,,2,0.25,1,4,8
11,"YH Lin, MS Tsai","… Integration of a Genetic Programming-Based Feature Optimizer With Fisher Criterion and Pattern Recognition Techniques to Non-Intrusive Load Monitoring for Load …",2015,"International journal of green energy","Taylor & Francis","https://www.tandfonline.com/doi/abs/10.1080/15435075.2014.891511","https://scholar.google.com/scholar?cites=9507392536920449476&as_sdt=2005&sciodt=0,5&hl=en",133,"2020-01-11 17:36:20","","","","",,,,,11,2.20,6,2,5
2,"S Mauch","„Non Intrusive Load Monitoring Data Acquisition Card “",2010,"Bachelor's Thesis, Hochschule Furtwangen","","","https://scholar.google.com/scholar?cites=15827457885107218904&as_sdt=2005&sciodt=0,5&hl=en",461,"2020-01-11 17:36:20","CITATION","","","",,,,,2,0.20,2,1,10
5,"XC Le, B Vrigneau, O Sentieys","l1-Norm minimization based algorithm for non-intrusive load monitoring",2015,"2015 IEEE International …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/7134052/","https://scholar.google.com/scholar?cites=5588888216515952828&as_sdt=2005&sciodt=0,5&hl=en",176,"2020-01-11 17:36:20","","","","",,,,,5,1.00,2,3,5
1,"M Pereira, N Velosa, L Pereira","dsCleaner: A Python Library to Clean, Preprocess and Convert Non-Intrusive Load Monitoring Datasets",2019,"Data","mdpi.com","https://www.mdpi.com/2306-5729/4/3/123","https://scholar.google.com/scholar?cites=4521155820702157565&as_sdt=2005&sciodt=0,5&hl=en",273,"2020-01-11 17:36:20","","","","",,,,,1,1.00,0,3,1
10,"D Li, S Dick","Whole-house non-intrusive appliance load monitoring via multi-label classification",2016,"2016 International Joint Conference on Neural …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/7727545/","https://scholar.google.com/scholar?cites=7405014129813672551&as_sdt=2005&sciodt=0,5&hl=en",206,"2020-01-11 17:36:20","","","","",,,,,10,2.50,5,2,4
42,"M Zeifman, K Roth","Viterbi algorithm with sparse transitions (VAST) for nonintrusive load monitoring",2011,"2011 IEEE Symposium on Computational …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/5953328/","https://scholar.google.com/scholar?cites=17189896791969164352&as_sdt=2005&sciodt=0,5&hl=en",18,"2020-01-11 17:36:20","","","","",,,,,42,4.67,21,2,9
0,"B Wang, Z Chen, AP Boedihardjo, CT Lu","Virtual Metering: An Efficient Water Disaggregation Algorithm via Nonintrusive Load Monitoring",2018,"ACM Transactions on …","dl.acm.org","https://dl.acm.org/citation.cfm?id=3141770","",99,"2020-01-11 17:36:20","","","","",,,,,0,0.00,0,4,2
3,"O Parson","Using hidden markov models for non-intrusive appliance load monitoring",2011,"Nine-Month Report","","","https://scholar.google.com/scholar?cites=14801256160434982906&as_sdt=2005&sciodt=0,5&hl=en",495,"2020-01-11 17:36:20","CITATION","","","",,,,,3,0.33,3,1,9
8,"O Parson","Using hidden Markov model variants for non-intrusive appliance load monitoring from smart meter data",2012,"Cité en","wais-demo.ecs.soton.ac.uk","http://wais-demo.ecs.soton.ac.uk/phdreports/Parsons%202012%20-%20MiniThesis-SingleSided.pdf","https://scholar.google.com/scholar?cites=18378365505950182137&as_sdt=2005&sciodt=0,5&hl=en",227,"2020-01-11 17:36:20","PDF","","","",,,,,8,1.00,8,1,8
0,"CW Tsai, CW Yang, WJ Ho, ZX Yin, ...","Using autoencoder network to implement non-intrusive load monitoring of small and medium business customer",2018,"… on Applied System …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/8394277/","",416,"2020-01-11 17:36:20","","","","",,,,,0,0.00,0,5,2
118,"M Berges, E Goldman, HS Matthews, ...","User-centered nonintrusive electricity load monitoring for residential buildings",2011,"Journal of computing …","ascelibrary.org","https://ascelibrary.org/doi/abs/10.1061/(ASCE)CP.1943-5487.0000108","https://scholar.google.com/scholar?cites=16859409044602400866&as_sdt=2005&sciodt=0,5&hl=en",22,"2020-01-11 17:36:20","","","","",,,,,118,13.11,30,4,9
7,"R Bonfigli, E Principi, S Squartini, ...","User-aided footprint extraction for appliance modelling in Non-Intrusive Load Monitoring",2016,"2016 IEEE …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/7849843/","https://scholar.google.com/scholar?cites=16135096128634094612&as_sdt=2005&sciodt=0,5&hl=en",140,"2020-01-11 17:36:20","","","","",,,,,7,1.75,2,4,4
